Row Labels;Sum of q2_gms
21934381212;4870.7
21934971612;133561.41
21944946612;32259.34
21948560112;71465.21
21955133212;1273.3
21959068912;168
21961037312;599.99
21967820112;77937.95
21969404212;45273.28
21972939512;3180.6
21981699512;335125.75
22017795812;1219.55
22057822005;7105.5
22088115512;
22098087312;12757.95
22103118112;1563
22105929112;16780.91
22109084712;10719.92
22111922112;2
22118009112;8186.78
22209149012;47719.07
22214395812;2499
22253190412;1124
22253565912;45640.7
22259119412;339.9
22260096412;6381.19
22281020915;270514.89
22330283312;16402.45
22330718512;9746.69
22391611212;5528.7
22405991612;319
22408914112;34387.15
22443445112;26659.08
22443723512;135398.71
22450119812;2922.5
22451199912;11971306.72
22451548812;369
22470863705;1229.7
22522990605;23101.38
22559161012;96323.05
22584034712;196498.42
22639528912;
22705790512;2268.63
22716607212;4036703.58
22826793712;
22846909712;
22885463505;35
22955225912;281250.8
22970011612;6955.84
23002097912;43351.72
23058820912;84176.45
23069291712;9136.35
23070472212;27614.7
23141437015;316299.58
23141507715;7609
23197643412;172494.33
23213300412;13586.17
23225225312;4861.74
23253948312;43837.11
23267882112;1439.7
23284888812;988
23307930912;4118.7
23324802412;278042.6
23457194912;99564.41
23471106812;37937.46
23506280212;59226.15
23506836812;3000457.77
23512267612;3766.25
23532565312;38683.86
23558824312;16764.41
23608695112;-4999
23636998912;3229.78
23737493605;2340.12
23753095312;428.4
23753738212;-668
23760936912;1490.1
23774174112;-570.1
23808988812;31522.77
23866555412;
23901669212;29248.9
23964964812;42778.48
24244213912;10786473.99
24247067312;2799
24270015212;11598.41
24305536312;292214.51
24338692112;588408.7
24352262615;2746.75
24364193002;
24400052312;69997.9
24461662912;-31559.01
24504108715;115
24523053812;7361.2
24529043712;6206.73
24539889912;65934.7
24540120912;634.75
24669728705;44170.29
24692556512;18553.54
24718615512;21950.74
24730321305;165
24736392712;2609
24846150205;10275.06
24852084205;5689
24864661312;43991.8
24939798912;2764.34
24950650012;24199.86
24950819512;382286.5
24958541112;
24966292312;16971.76
24966802812;75575.12
25026723412;49.7
25062787712;5287.02
25098147502;3046.49
25111300012;27180.41
25208781412;342547.99
25255086012;513266.44
25322178712;184297.75
25368138112;4315.2
25375171512;749
25379050812;5910.5
25381541412;7149.97
25417781612;439133.48
25418184912;1110842.52
25428079212;21848.43
25450232112;42316.52
25457950602;5
25466053312;85541.5
25489572112;163473.18
25507613612;10479.9
25519220812;1699
25522598705;7267.26
25567185112;
25579935312;24106.54
25581880912;2249.87
25603076312;17092.87
25606847805;8276.05
25612654612;65543.6
25617133912;48403.93
25650537612;581637.47
25653087612;58
25664204612;991.04
25670005712;516212.19
25670097112;4173.75
25693469912;33941.15
25694889412;1414.87
25733487112;
25832541812;43256.86
25871879812;1047.93
25938292512;69
25940371212;124438.48
25943598612;5509.09
25963849512;135
25964178412;197674.53
25969019912;38727.07
25973106312;3078
25986396212;3013.68
25989399712;24628.36
